ric,etiqueta,tipo,cupon,vencimiento
CO1MT=RR,1M,LETRA,0.0,2026-08-25
CO3MT=RR,3M,LETRA,0.0,2026-09-22
CO6MT=RR,6M,LETRA,0.0,2026-10-20
CO9MT=RR,9M,LETRA,0.0,2027-01-26
CO1YT=RR,1Y,LETRA,0.0,2027-03-23
CO2YT=RR,2Y,BONO,0.06,2028-04-28
CO3YT=RR,3Y,BONO,0.11,2029-08-22
CO4YT=RR,4Y,BONO,0.125,2030-02-27
CO5YT=RR,5Y,BONO,0.07,2031-03-26
CO7YT=RR,7Y,BONO,0.1325,2033-02-09
CO10YT=RR,10Y,BONO,0.0625,2036-07-09
CO15YT=RR,15Y,BONO,0.0925,2042-05-28
CO20YT=RR,20Y,BONO,0.115,2046-07-25
CO25YT=RR,25Y,BONO,0.0725,2050-10-26
CO30YT=RR,30Y,BONO,0.12,2058-03-13
